@relation pandasdata
@attribute average_depth real
@attribute median_depth real
@attribute minimum_depth real
@attribute standard_deviation real
@attribute closer_than_5 real
@attribute corners real
@attribute corners_closer_than_5 real
@attribute number_of_blobs real
@attribute total_blob_area real
@attribute average_blob_size real
@attribute std_blob_area real
@attribute std_blob_points real
@attribute number_of_close_blobs real
@attribute total_close_blob_area real
@attribute average_close_blob_size real
@attribute std_blob_area real
@attribute std_blob_points real
@attribute class {no,yes}
@data
7.386285450623972,4.8,2.3,5.505598405816349,246425,69.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,no
7.810235771778615,5.6,2.5,5.12048206472223,215975,38.0,1,2,70.69913101196289,35.349565505981445,0.0,0.0,0,0.0,0.0,0.0,0.0,no
6.26504682624872,4.3,2.1,4.686285759109808,231109,64.0,22,2,139.00390243530273,69.50195121765137,24.81901741027832,201.80452726988887,2,139.00390243530273,69.50195121765137,24.81901741027832,201.80452726988887,yes
5.536357177045032,3.1,1.5,5.170535299392326,382993,150.0,123,11,605.1491546630859,55.01355951482599,14.764116264263103,285.38819426779986,10,605.1491546630859,55.01355951482599,14.764116264263103,285.38819426779986,yes
5.434406314200664,3.1,1.6,4.664725011363827,434840,150.0,145,17,924.866792678833,54.403928981107825,17.33089459387971,248.4251628997446,16,924.866792678833,54.403928981107825,17.33089459387971,248.4251628997446,yes
4.9441170513808625,3.2,1.3,4.268245038873721,242651,51.0,28,7,274.54130363464355,39.22018623352051,6.552401439185752,355.56238826092203,5,274.54130363464355,39.22018623352051,6.552401439185752,355.56238826092203,yes
5.603998021854645,3.2,1.5,4.854522359681737,415157,139.0,51,11,599.1743183135986,54.470392573963515,21.729369587892286,291.86693320371637,8,599.1743183135986,54.470392573963515,21.729369587892286,291.86693320371637,yes
6.071745099230611,3.6,1.5,4.992947336618225,322115,150.0,126,9,418.7087345123291,46.523192723592125,15.853605920121614,204.4511783439685,8,418.7087345123291,46.523192723592125,15.853605920121614,204.4511783439685,yes
4.7022540044508165,2.9,1.7,3.8568510764110817,387728,150.0,137,4,249.04256439208984,62.26064109802246,2.362395301421187,205.90386857992132,4,249.04256439208984,62.26064109802246,2.362395301421187,205.90386857992132,yes
7.8022693037758275,5.0,1.8,5.574301970533499,273193,105.0,85,10,710.8660316467285,71.08660316467285,34.105194793527495,371.2241691644305,6,710.8660316467285,71.08660316467285,34.105194793527495,371.2241691644305,no
5.804626776526201,3.5,1.7,4.644464478238426,343129,77.0,55,17,851.2603340148926,50.07413729499368,17.42708549733705,253.3309709067001,16,851.2603340148926,50.07413729499368,17.42708549733705,253.3309709067001,yes
8.155408910827383,7.8,1.5,4.862178125472492,194268,150.0,0,6,289.43048667907715,48.238414446512856,16.06009336075501,254.13579124881238,5,289.43048667907715,48.238414446512856,16.06009336075501,254.13579124881238,yes
7.074133499814017,4.0,2.0,5.940944784820347,339484,137.0,70,5,297.261173248291,59.4522346496582,15.474968963093257,232.07009648085898,3,297.261173248291,59.4522346496582,15.474968963093257,232.07009648085898,no
5.198168618534648,3.6,1.9,3.8261665282187325,327975,118.0,108,4,260.04271697998047,65.01067924499512,20.862126752414206,232.59678506900707,4,260.04271697998047,65.01067924499512,20.862126752414206,232.59678506900707,yes
4.4449726274729375,2.7,1.3,3.932263173685238,390799,93.0,66,12,691.9918327331543,57.66598606109619,18.826146084890684,260.2452152398959,11,691.9918327331543,57.66598606109619,18.826146084890684,260.2452152398959,yes
6.363162414004212,4.3,2.1,4.571736925435731,221889,143.0,122,2,159.11021423339844,79.55510711669922,1.33001708984375,239.4506597097552,2,159.11021423339844,79.55510711669922,1.33001708984375,239.4506597097552,yes
7.2365542105835585,6.7,2.2,3.8236367333431667,304984,150.0,13,8,314.05880546569824,39.25735068321228,9.296897068495337,340.7718823434421,8,314.05880546569824,39.25735068321228,9.296897068495337,340.7718823434421,no
6.33728990862336,4.3,1.9,4.790329410914419,230765,62.0,28,3,144.25593185424805,48.08531061808268,4.002701344824772,239.73148948012695,2,144.25593185424805,48.08531061808268,4.002701344824772,239.73148948012695,no
5.481505011808085,3.6,1.5,4.454068337597096,415848,150.0,98,16,740.8969745635986,46.306060910224915,13.476797136393749,248.29730640618922,16,740.8969745635986,46.306060910224915,13.476797136393749,248.29730640618922,yes
6.4912997177999054,3.8,1.9,5.341348158667721,335304,150.0,119,5,292.7982292175293,58.55964584350586,20.581550926177595,253.97234343358903,2,292.7982292175293,58.55964584350586,20.581550926177595,253.97234343358903,yes
6.564746045529619,4.5,1.8,4.896891829025946,252506,87.0,19,3,176.7658805847168,58.9219601949056,12.064009759123298,243.33407822506584,3,176.7658805847168,58.9219601949056,12.064009759123298,243.33407822506584,yes
6.454902126519456,4.0,1.7,5.120772257591744,367137,23.0,0,1,35.854713439941406,35.854713439941406,0.0,0.0,0,0.0,0.0,0.0,0.0,no
7.527425677133298,5.1,2.3,5.113277507859527,217654,116.0,31,4,240.25912857055664,60.06478214263916,11.605397994831073,387.2316285909384,3,240.25912857055664,60.06478214263916,11.605397994831073,387.2316285909384,no
6.402219611222957,4.2,1.7,4.773074512775981,324435,150.0,38,9,407.8760070800781,45.319556342230904,14.928034520230774,327.7515288415193,7,407.8760070800781,45.319556342230904,14.928034520230774,327.7515288415193,yes
5.39949245332772,4.1,2.1,3.642531578619412,276304,150.0,121,6,269.52458572387695,44.92076428731283,10.267230903326077,350.7868083534531,6,269.52458572387695,44.92076428731283,10.267230903326077,350.7868083534531,no
4.975235433450251,2.9,1.6,4.682025461255895,427388,54.0,46,11,552.3820953369141,50.21655412153764,14.797386696269516,249.72553870744662,8,552.3820953369141,50.21655412153764,14.797386696269516,249.72553870744662,yes
6.85514304393401,4.4,1.8,5.288152373896241,304390,27.0,0,3,226.64996719360352,75.5499890645345,23.858166765239485,331.15401273486293,1,226.64996719360352,75.5499890645345,23.858166765239485,331.15401273486293,no
