@relation pandasdata
@attribute average_depth real
@attribute median_depth real
@attribute minimum_depth real
@attribute standard_deviation real
@attribute closer_than_5 real
@attribute corners real
@attribute corners_closer_than_5 real
@attribute number_of_blobs real
@attribute total_blob_area real
@attribute average_blob_size real
@attribute class {no,yes}
@data
8.049980170963476,7.3,1.6,5.493055635538717,268484,150,0,5,241.6872444152832,40.2812074025472,yes
13.048428261699938,13.4,2.0,3.5904991194951017,5474,150,0,0,0.0,0.0,no
12.550259227089782,12.9,1.9,3.6994957254300282,6083,150,0,0,0.0,0.0,no
12.694744915144451,13.3,1.9,4.076808985363435,6596,150,0,0,0.0,0.0,no
12.033357275615154,12.6,1.9,4.296661320384466,17356,150,1,1,76.2864761352539,38.14323806762695,no
9.142323844889463,9.3,2.2,5.17503735455821,150352,150,2,4,272.3718719482422,54.47437438964844,yes
4.70341671460594,2.8,1.6,3.9477729141670346,357911,150,146,7,386.5872039794922,48.32340049743652,yes
5.596946398456814,2.8,1.3,4.882047630442781,428283,150,82,22,1253.4546375274658,54.49802771858547,yes
8.209915170685095,7.8,2.3,4.625866569259093,123180,150,9,8,398.5936794281006,44.288186603122284,yes
7.218763808564559,5.9,1.7,4.760540800569484,220536,150,7,8,420.39680671691895,46.71075630187988,yes
7.036510045939317,5.6,1.8,4.565867010100663,190989,133,9,5,375.81100845336914,62.63516807556152,yes
7.243022690172267,6.0,2.1,4.321784333791974,182737,132,8,4,206.44195175170898,41.2883903503418,yes
6.914215461281225,5.6,2.2,4.311407844478519,199169,150,15,3,179.35991668701172,44.83997917175293,yes
6.564746045529619,4.5,1.8,4.896891829025946,252506,87,19,3,177.07173538208008,44.26793384552002,yes
6.33728990862336,4.3,1.9,4.790329410914419,230765,62,28,3,144.14489364624023,36.03622341156006,no
11.278171589560824,10.1,5.2,4.452153163370134,0,10,0,2,104.60359954833984,34.86786651611328,no
8.132600000849173,5.7,2.4,5.374373426610886,211915,9,0,4,201.30438995361328,40.260877990722655,no
5.3821968377172515,3.0,1.3,4.929468210164531,389326,98,59,13,623.2677536010742,44.519125257219585,no
6.073355414933158,3.6,1.4,5.118318711303177,327676,39,23,9,485.4197521209717,48.54197521209717,no
5.981079440160955,3.8,2.0,4.801001076643696,312361,33,16,8,430.5304374694824,47.83671527438693,no
5.986705908781719,3.3,1.7,5.185183164971037,403392,94,20,7,452.3203887939453,56.540048599243164,yes
5.86163933046437,3.5,1.4,5.007257957811942,398198,150,61,12,657.7647972106934,50.59729209313026,yes
5.982348120544898,3.5,1.6,4.924384135558113,387545,150,67,11,609.6963195800781,50.80802663167318,yes
5.603998021854645,3.2,1.5,4.854522359681737,415157,140,53,11,597.9089889526367,49.82574907938639,yes
5.17894038204415,3.2,1.3,4.582874519503232,402193,150,70,17,877.5840969085693,48.754672050476074,yes
5.412800339104746,3.6,1.2,4.696049867691478,486360,150,54,13,752.5598335266113,53.75427382332938,yes
5.136003805374401,3.3,1.5,4.523874946671714,523746,149,68,15,800.0195617675781,50.00122261047363,yes
4.967768395554042,3.1,1.5,4.50099955112889,516350,150,82,15,872.3671894073486,54.52294933795929,yes
7.710486992269253,5.5,1.6,5.784623908064212,337763,150,23,14,712.3147964477539,47.48765309651693,no
9.282125186657666,8.1,2.0,5.877481378072383,189726,150,7,4,282.00329208374023,56.400658416748044,yes
9.14983923640899,8.3,2.1,5.5786446971416055,192873,150,3,5,174.12521171569824,29.02086861928304,yes
8.42035926983348,7.2,1.8,5.585097553743434,252492,150,6,9,571.7562236785889,57.175622367858885,yes
8.295274395209889,6.8,1.8,5.595505640151293,257062,150,7,6,302.69430351257324,43.242043358939036,yes
8.17256964697826,6.7,1.7,5.558368636238373,268581,150,16,8,434.9469699859619,48.32744110955132,yes
10.173907291201214,9.6,2.3,5.632975884831342,136482,150,1,3,255.0120964050293,63.753024101257324,yes
5.004378273477849,3.0,2.0,4.113810444575014,356809,19,18,11,528.1406021118164,44.01171684265137,yes
6.009425097885033,3.4,1.5,4.824727661057311,338154,80,35,11,593.3996315002441,49.44996929168701,yes
5.7822716562929335,3.5,1.3,4.444263531915776,309014,150,55,11,572.7238159179688,47.72698465983073,yes
5.89887092264934,3.7,1.4,4.554819394962212,318733,150,64,13,594.18727684021,42.44194834572928,yes
6.107057176764141,4.2,1.4,4.5459818329079935,286124,10,7,16,826.1117782592773,48.594810485839844,yes
4.4449726274729375,2.7,1.3,3.932263173685238,390799,94,66,12,695.0510520935059,53.4654655456543,yes
5.808584239680448,3.8,1.1,4.818334971983978,298200,150,125,6,376.5706329345703,53.79580470493862,yes
6.071745099230611,3.6,1.5,4.992947336618225,322115,150,125,10,485.41601371765137,44.128728519786485,yes
4.7022540044508165,2.9,1.7,3.8568510764110817,387728,150,137,4,250.073974609375,50.014794921875,yes
5.235036552490604,3.4,1.6,4.461761651155376,349194,126,104,5,372.33264541625977,62.05544090270996,yes
5.6126468765248125,3.6,1.1,4.792716310886853,352325,150,141,13,641.0271320343018,45.78765228816441,yes
5.748742546932091,4.0,1.3,4.259013872541127,294878,150,134,8,405.5911693572998,45.065685484144424,yes
6.513747900476462,4.5,2.2,4.540303395953119,227246,146,117,3,159.08007431030273,39.770018577575684,yes
7.341526237946616,5.2,2.7,4.861267046244714,167386,100,70,3,172.22224044799805,43.05556011199951,yes
6.497517270654254,4.4,2.5,4.5671877313270555,219339,42,33,3,178.28805923461914,44.572014808654785,yes
6.110184795511737,4.5,2.1,3.9573482657076915,196228,136,101,1,65.481689453125,32.7408447265625,yes
6.363162414004212,4.3,2.1,4.571736925435731,221889,143,122,2,159.18531799316406,53.06177266438802,yes
5.288294164147689,3.5,1.8,4.181913730684229,344004,150,145,4,206.2099494934082,41.24198989868164,yes
6.96662206580622,5.2,2.0,4.806177086192253,279369,150,5,12,672.7255935668945,51.74812258206881,yes
6.914311343232661,5.2,0.8,4.8294763457231324,262788,150,40,6,322.42186737060547,46.06026676722935,no
6.402219611222957,4.2,1.7,4.773074512775981,324435,150,38,10,476.66072845458984,43.332793495871805,yes
6.840033181999411,4.8,1.8,5.116362434613499,324105,150,22,16,802.4244270324707,47.20143688426298,yes
6.384561065258478,4.1,1.7,4.901816914283109,348671,150,39,19,1053.1885375976562,52.659426879882815,yes
6.133877669839096,3.7,1.7,4.837549753063554,368770,150,76,19,1087.7494659423828,54.38747329711914,yes
5.710469341430969,3.3,1.7,4.610918704237278,403853,150,137,23,1118.0624389648438,46.58593495686849,yes
5.434406314200664,3.1,1.6,4.664725011363827,434840,150,145,16,892.1887092590332,52.48168877994313,yes
